MatrixType,Size,Algorithm,BlockSize,ExecutionTime(ms)
随机矩阵,500,naive,0,0.311808
随机矩阵,500,cache_optimized,0,0.0658544
随机矩阵,500,openmp_simple,0,0.075666
随机矩阵,500,openmp_optimized,0,0.0652864
随机矩阵,500,blocked,16,0.235314
随机矩阵,500,blocked,32,0.224722
随机矩阵,500,blocked,64,0.262837
随机矩阵,500,blocked,128,0.280013
随机矩阵,500,blocked,256,0.235274
随机矩阵,500,blocked_optimized,16,0.111169
随机矩阵,500,blocked_optimized,32,0.113097
随机矩阵,500,blocked_optimized,64,0.106233
随机矩阵,500,blocked_optimized,128,0.110401
随机矩阵,500,blocked_optimized,256,0.132957
随机矩阵,1000,naive,0,2.55645
随机矩阵,1000,cache_optimized,0,0.405886
随机矩阵,1000,openmp_simple,0,0.275505
随机矩阵,1000,openmp_optimized,0,0.307772
随机矩阵,1000,blocked,16,0.997175
随机矩阵,1000,blocked,32,1.10175
随机矩阵,1000,blocked,64,0.94082
随机矩阵,1000,blocked,128,0.990359
随机矩阵,1000,blocked,256,0.996131
随机矩阵,1000,blocked_optimized,16,0.455352
随机矩阵,1000,blocked_optimized,32,0.469976
随机矩阵,1000,blocked_optimized,64,0.661347
随机矩阵,1000,blocked_optimized,128,0.485292
随机矩阵,1000,blocked_optimized,256,0.534934
随机矩阵,2000,naive,0,20.1018
随机矩阵,2000,cache_optimized,0,1.67447
随机矩阵,2000,openmp_simple,0,1.9084
随机矩阵,2000,openmp_optimized,0,1.93512
随机矩阵,2000,blocked,16,4.03072
随机矩阵,2000,blocked,32,8.10222
随机矩阵,2000,blocked,64,9.02245
随机矩阵,2000,blocked,128,8.63276
随机矩阵,2000,blocked,256,9.38914
随机矩阵,2000,blocked_optimized,16,3.58351
随机矩阵,2000,blocked_optimized,32,5.66625
随机矩阵,2000,blocked_optimized,64,6.07455
随机矩阵,2000,blocked_optimized,128,2.48836
随机矩阵,2000,blocked_optimized,256,3.03443
随机矩阵,3000,naive,0,53.3925
随机矩阵,3000,cache_optimized,0,4.2044
随机矩阵,3000,openmp_simple,0,4.50531
随机矩阵,3000,openmp_optimized,0,4.00722
随机矩阵,3000,blocked,16,8.56426
随机矩阵,3000,blocked,32,22.3921
随机矩阵,3000,blocked,64,11.5358
随机矩阵,3000,blocked,128,10.6595
随机矩阵,3000,blocked,256,11.9858
随机矩阵,3000,blocked_optimized,16,4.15841
随机矩阵,3000,blocked_optimized,32,7.92641
随机矩阵,3000,blocked_optimized,64,9.66989
随机矩阵,3000,blocked_optimized,128,7.90825
随机矩阵,3000,blocked_optimized,256,9.7411
随机矩阵,4000,naive,0,102.238
随机矩阵,4000,cache_optimized,0,8.14489
随机矩阵,4000,openmp_simple,0,7.77521
随机矩阵,4000,openmp_optimized,0,7.44589
随机矩阵,4000,blocked,16,14.713
随机矩阵,4000,blocked,32,30.3623
随机矩阵,4000,blocked,64,33.3576
随机矩阵,4000,blocked,128,21.6521
随机矩阵,4000,blocked,256,21.5923
随机矩阵,4000,blocked_optimized,16,7.86968
随机矩阵,4000,blocked_optimized,32,13.7377
随机矩阵,4000,blocked_optimized,64,20.1666
随机矩阵,4000,blocked_optimized,128,14.0254
随机矩阵,4000,blocked_optimized,256,18.3816
单位矩阵,500,naive,0,0.279977
单位矩阵,500,cache_optimized,0,0.0645904
单位矩阵,500,openmp_simple,0,0.0727902
单位矩阵,500,openmp_optimized,0,0.0710942
单位矩阵,500,blocked,16,0.236394
单位矩阵,500,blocked,32,0.255845
单位矩阵,500,blocked,64,0.309012
单位矩阵,500,blocked,128,0.220558
单位矩阵,500,blocked,256,0.209319
单位矩阵,500,blocked_optimized,16,0.101989
单位矩阵,500,blocked_optimized,32,0.115277
单位矩阵,500,blocked_optimized,64,0.185459
单位矩阵,500,blocked_optimized,128,0.231038
单位矩阵,500,blocked_optimized,256,0.235474
单位矩阵,1000,naive,0,2.06364
单位矩阵,1000,cache_optimized,0,0.354511
